Data,Temperatura,Umidade,IndiceCalor
1700597936,22.0,64.0,21.926445
1700597939,22.0,64.0,21.926445
1700597942,22.0,64.0,21.926445
1700597945,22.0,64.0,21.926445
1700597948,22.0,64.0,21.926445
1700597951,22.0,64.0,21.926445
1700597954,22.0,65.0,21.952559
1700597957,22.0,65.0,21.952559
1700597960,22.0,65.0,21.952559
1700597963,22.0,65.0,21.952559
1700597966,22.0,65.0,21.952559
1700597969,22.0,65.0,21.952559
1700597972,22.0,65.0,21.952559
1700597975,22.0,65.0,21.952559
1700597978,22.0,65.0,21.952559
1700597982,22.0,65.0,21.952559
1700597984,22.0,65.0,21.952559
1700597987,22.0,65.0,21.952559
1700597991,22.0,65.0,21.952559
1700597993,22.0,65.0,21.952559
1700597997,22.0,65.0,21.952559
1700598000,22.0,65.0,21.952559
1700598003,22.0,65.0,21.952559
1700598006,22.0,66.0,21.978666
1700598009,22.0,66.0,21.978666
1700598012,22.0,66.0,21.978666
1700598015,22.0,66.0,21.978666
1700598018,22.0,66.0,21.978666
1700598021,22.0,66.0,21.978666
1700598025,22.0,66.0,21.978666
1700598027,22.0,66.0,21.978666
1700598030,22.0,66.0,21.978666
1700598033,22.0,66.0,21.978666
1700598036,22.0,66.0,21.978666
1700598039,22.0,66.0,21.978666
1700598042,22.0,66.0,21.978666
1700598045,22.0,66.0,21.978666
1700598048,22.0,66.0,21.978666
1700598051,22.0,66.0,21.978666
1700598055,21.0,66.0,20.878681
1700598057,21.0,66.0,20.878681
1700598060,22.0,66.0,21.978666
1700598065,22.0,66.0,21.978666
1700598066,22.0,66.0,21.978666
1700598069,22.0,66.0,21.978666
1700598074,22.0,66.0,21.978666
1700598076,22.0,66.0,21.978666
1700598079,22.0,67.0,22.00478
1700598082,22.0,67.0,22.00478
1700598087,22.0,67.0,22.00478
1700598088,22.0,67.0,22.00478
1700598091,22.0,67.0,22.00478
1700598094,22.0,67.0,22.00478
1700598097,22.0,67.0,22.00478
1700598100,22.0,67.0,22.00478
1700598103,22.0,67.0,22.00478
1700598106,22.0,67.0,22.00478
1700598109,22.0,67.0,22.00478
1700598112,22.0,67.0,22.00478
1700598115,22.0,67.0,22.00478
1700598118,22.0,67.0,22.00478
1700598121,22.0,67.0,22.00478
1700598124,22.0,67.0,22.00478
1700598128,22.0,67.0,22.00478
1700598130,22.0,67.0,22.00478
1700598133,22.0,67.0,22.00478
1700598136,22.0,67.0,22.00478
1700598139,23.0,67.0,23.104771
1700598142,23.0,67.0,23.104771
1700598146,23.0,67.0,23.104771
1700598148,23.0,67.0,23.104771
1700598151,23.0,67.0,23.104771
1700598155,23.0,67.0,23.104771
